iter	Passed	Remaining
648	1484	802
649	1487	800
650	1490	798
651	1492	796
652	1493	793
653	1495	791
654	1497	788
655	1499	786
656	1503	784
657	1506	782
658	1508	780
659	1509	777
660	1511	775
661	1514	773
662	1516	770
663	1518	768
664	1520	766
665	1522	763
666	1525	761
667	1527	759
668	1531	757
669	1596	786
670	1599	784
671	1605	783
672	1607	781
673	1612	779
674	1616	778
675	1619	775
676	1621	773
677	1624	771
678	1636	773
679	1638	771
680	1648	772
681	1651	770
682	1655	768
683	1660	766
684	1663	764
685	1666	762
686	1669	760
687	1675	759
688	1678	757
689	1680	754
690	1682	752
691	1684	749
692	1686	747
693	1691	745
694	1693	743
695	1695	740
696	1698	738
697	1700	735
698	1708	735
699	1711	733
700	1714	731
701	1716	728
702	1722	727
703	1724	725
704	1726	722
705	1728	719
706	1730	717
707	1732	714
708	1736	712
709	1739	710
710	1741	707
711	1742	704
712	1744	702
713	1746	699
714	1749	697
715	1752	695
716	1754	692
717	1756	689
718	1758	687
719	1760	684
720	1762	681
721	1765	679
722	1768	677
723	1770	674
724	1772	672
725	1774	669
726	1775	666
727	1777	664
728	1781	662
729	1785	660
730	1787	657
731	1788	654
732	1790	652
733	1792	649
734	1795	647
735	1798	645
736	1800	642
737	1802	639
738	1804	637
739	1805	634
740	1807	631
741	1817	631
742	1819	629
743	1821	626
744	1823	624
745	1825	621
746	1828	619
747	1831	616
748	1832	614
749	1834	611
750	1836	608
751	1837	606
752	1839	603
753	1842	600
754	1844	598
755	1846	595
756	1848	593
757	1850	590
758	1852	588
759	1854	585
760	1857	583
761	1859	580
762	1861	578
763	1863	575
764	1865	572
765	1866	570
766	1868	567
767	1872	565
768	1874	563
769	1876	560
770	1878	557
771	1880	555
772	1882	552
773	1883	550
774	1886	547
775	1889	545
776	1891	542
777	1892	540
778	1894	537
779	1896	534
780	1897	532
781	1899	529
782	1904	527
783	1906	525
784	1908	522
785	1910	520
786	1911	517
787	1913	514
788	1915	512
789	1919	510
790	1921	507
791	1923	505
792	1924	502
793	1926	499
794	1928	497
795	1930	494
796	1934	492
797	1936	490
798	1938	487
799	1939	484
800	1941	482
801	1942	479
802	1944	477
803	1947	474
804	1950	472
805	1952	469
806	1954	467
807	1956	464
808	1957	462
809	1959	459
810	1961	457
811	1964	454
812	1966	452
813	1968	449
814	1970	447
815	1972	444
816	1973	442
817	1975	439
818	1978	437
819	1981	434
820	1983	432
821	1985	429
822	1987	427
823	1989	424
824	1990	422
825	1995	420
826	1997	417
827	1999	415
828	2000	412
829	2002	410
830	2004	407
831	2006	405
832	2009	402
833	2011	400
834	2013	397
835	2015	395
836	2017	392
837	2019	390
838	2021	387
839	2024	385
840	2026	383
841	2028	380
842	2029	378
843	2031	375
844	2033	372
845	2035	370
846	2036	367
847	2041	365
848	2043	363
849	2045	361
850	2047	358
851	2049	355
852	2050	353
853	2052	350
854	2055	348
855	2057	346
856	2059	343
857	2060	341
858	2062	338
859	2064	336
860	2065	333
861	2067	331
862	2069	328
863	2072	326
864	2073	323
865	2075	321
866	2077	318
867	2078	316
868	2080	313
869	2082	311
870	2085	308
871	2088	306
872	2089	303
873	2091	301
874	2092	298
875	2094	296
876	2095	293
877	2097	291
878	2099	289
879	2102	286
880	2104	284
881	2105	281
882	2107	279
883	2108	276
884	2110	274
885	2111	271
886	2113	269
887	2116	266
888	2118	264
889	2119	262
890	2121	259
891	2123	257
892	2125	254
893	2127	252
894	2129	249
895	2132	247
896	2133	245
897	2135	242
898	2138	240
899	2140	237
900	2142	235
901	2145	233
902	2147	230
903	2149	228
904	2151	225
905	2153	223
906	2155	220
907	2157	218
908	2159	216
909	2161	213
910	2164	211
911	2165	208
912	2167	206
913	2170	204
914	2171	201
915	2174	199
916	2177	197
917	2180	194
918	2184	192
919	2188	190
920	2201	188
921	2204	186
922	2211	184
923	2216	182
924	2221	180
925	2226	177
926	2229	175
927	2288	177
928	2306	176
929	2308	173
930	2310	171
931	2317	169
932	2338	167
933	2339	165
934	2341	162
935	2348	160
936	2349	158
937	2352	155
938	2353	152
939	2357	150
940	2360	147
941	2362	145
942	2364	142
943	2366	140
944	2368	137
945	2373	135
946	2376	132
947	2378	130
948	2379	127
949	2382	125
950	2383	122
951	2385	120
952	2387	117
953	2390	115
954	2391	112
955	2393	110
956	2396	107
957	2398	105
958	2401	102
959	2404	100
960	2406	97
961	2407	95
962	2409	92
963	2411	90
964	2412	87
965	2414	84
966	2423	82
967	2424	80
968	2426	77
